date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-09-11,4402,郡都開發,TPEX,67991830,1527145,0.0
2025-09-11,4406,新昕纖,TPEX,51912000,96117,0.0
2025-09-11,4413,飛寶企業,TPEX,31314689,1792009,0.0
2025-09-11,4416,三圓,TPEX,73586213,414182,0.0
2025-09-11,4417,金洲,TPEX,83971399,4184919,0.0
2025-09-11,4419,皇家美食,TPEX,169163133,3883,0.0
2025-09-11,4420,光明,TPEX,40455000,226353,0.0
2025-09-11,4430,耀億,TPEX,56273609,1285912,0.0
2025-09-11,4432,銘旺實,TPEX,50589000,461220,0.0
2025-09-11,4433,興采,TPEX,61299774,30613,0.0
2025-09-11,4442,竣邦-KY,TPEX,30442938,19609744,0.0
2025-09-11,4502,健信,TPEX,57469686,2165102,0.0
2025-09-11,4503,金雨,TPEX,78313326,3293967,0.0
2025-09-11,4506,崇友,TPEX,177012000,4203661,0.0
2025-09-11,4510,高鋒,TPEX,108010689,4507502,0.0
2025-09-11,4513,福裕,TPEX,114361921,1655840,0.0
2025-09-11,4523,永彰,TPEX,64949000,2050013,0.0
2025-09-11,4527,方土霖,TPEX,76152370,1356242,0.0
2025-09-11,4528,江興鍛,TPEX,84165695,92655,0.0
2025-09-11,4529,淳紳,TPEX,84549096,13979945,0.0
2025-09-11,4530,宏易,TPEX,69437276,2100708,0.0
2025-09-11,4533,協易機,TPEX,158434110,8335631,0.0
2025-09-11,4534,慶騰,TPEX,86788948,534704,0.0
2025-09-11,4535,至興,TPEX,75661740,88152,0.0
2025-09-11,4538,大詠城,TPEX,58772991,80516,0.0
2025-09-11,4541,晟田,TPEX,67647068,2592595,0.0
2025-09-11,4542,科嶠,TPEX,32323417,1995219,0.0
2025-09-11,4543,萬在,TPEX,59772300,4190441,0.0
2025-09-11,4549,桓達,TPEX,57002445,676970,0.0
2025-09-11,4550,長佳,TPEX,37838783,580001,0.0
2025-09-11,4554,橙的,TPEX,26327464,6505509,0.0
2025-09-11,4556,旭然,TPEX,42302840,4649054,0.0
2025-09-11,4558,寶緯,TPEX,50000000,116000,0.0
2025-09-11,4561,健椿,TPEX,58521619,912105,0.0
2025-09-11,4563,百德,TPEX,54950000,1782135,0.0
2025-09-11,4568,科際精密,TPEX,31772125,6360251,0.0
2025-09-11,4577,達航科技,TPEX,49137998,746000,0.0
2025-09-11,4580,捷流閥業,TPEX,46803109,1309458,0.0
2025-09-11,4584,君帆,TPEX,30002400,6080,0.0
2025-09-11,4609,唐鋒,TPEX,47946820,0,0.0
2025-09-11,4702,中美實,TPEX,72333200,31225546,0.0
2025-09-11,4706,大恭,TPEX,79030093,23249091,0.0
2025-09-11,4707,磐亞,TPEX,403715270,1532257,0.0
2025-09-11,4711,永純,TPEX,61056000,481873,0.0
2025-09-11,4714,永捷,TPEX,178088188,8556578,0.0
2025-09-11,4716,大立,TPEX,94427191,2006135,0.0
2025-09-11,4721,美琪瑪,TPEX,74986304,1980288,0.0
2025-09-11,4726,永昕,TPEX,207114300,43048508,0.0
2025-09-11,4728,雙美,TPEX,54463000,9742055,0.0
2025-09-11,4729,熒茂,TPEX,79226741,829287,0.0
2025-09-11,4735,豪展,TPEX,41568758,25431,0.0
2025-09-11,4741,泓瀚,TPEX,34812079,423980,0.0
2025-09-11,4743,合一,TPEX,479296486,35110942,0.0
2025-09-11,4744,皇將,TPEX,54984332,4859426,0.0
2025-09-11,4745,合富-KY,TPEX,77449547,9563477,0.0
2025-09-11,4747,強生,TPEX,44932346,279875,0.0
2025-09-11,4749,新應材,TPEX,92732865,10814848,0.0
2025-09-11,4754,國碳科,TPEX,30283215,73967,0.0
2025-09-11,4760,勤凱,TPEX,32218283,882376,0.0
2025-09-11,4767,誠泰科技,TPEX,31415000,8000,0.0
2025-09-11,4768,晶呈科技,TPEX,47487969,3018580,0.0
2025-09-11,4772,台特化,TPEX,147681552,14142896,0.0
2025-09-11,4804,大略-KY,TPEX,60324920,2188219,0.0
2025-09-11,4806,桂田文創,TPEX,99947092,1882691,0.0
2025-09-11,4903,聯光通,TPEX,105343714,462457,0.0
2025-09-11,4905,台聯電,TPEX,29260044,2805181,0.0
2025-09-11,4907,富宇,TPEX,118145778,271589,0.0
2025-09-11,4908,前鼎,TPEX,78216907,2798561,0.0
2025-09-11,4909,新復興,TPEX,93356864,5803703,0.0
2025-09-11,4911,德英,TPEX,63719568,160332,0.0
2025-09-11,4923,力士,TPEX,33890800,264205,0.0
2025-09-11,4924,欣厚-KY,TPEX,37164409,14129668,0.0
2025-09-11,4931,新盛力,TPEX,65617761,4768357,0.0
2025-09-11,4933,友輝,TPEX,81989675,5245073,0.0
2025-09-11,4939,亞電,TPEX,98200868,4803414,0.0
2025-09-11,4946,辣椒,TPEX,7810946,964865,0.0
2025-09-11,4950,金耘國際,TPEX,57729107,98362,0.0
2025-09-11,4951,精拓科,TPEX,34148713,1752001,0.0
2025-09-11,4953,緯軟,TPEX,73147014,6446877,0.0
2025-09-11,4966,譜瑞-KY,TPEX,80057788,31913232,0.0
2025-09-11,4971,IET-KY,TPEX,39985743,5669672,0.0
2025-09-11,4972,湯石照明,TPEX,56888587,1578434,0.0
2025-09-11,4973,廣穎,TPEX,65392843,1753798,0.0
2025-09-11,4974,亞泰,TPEX,72500104,3995014,0.0
2025-09-11,4979,華星光,TPEX,140839794,16219806,0.0
2025-09-11,4987,科誠,TPEX,31878000,1011778,0.0
2025-09-11,4991,環宇-KY,TPEX,113648293,18658515,0.0
2025-09-11,4995,晶達,TPEX,42336036,898605,0.0
2025-09-11,5009,榮剛,TPEX,602471197,56857105,0.0
2025-09-11,5011,久陽,TPEX,100669738,538076,0.0
2025-09-11,5013,強新,TPEX,133416000,16300804,0.0
2025-09-11,5014,建錩,TPEX,183265054,3847242,0.0
